post,tags
app crash when button is clicked. unable to start activity componentinfo  i know that there are problems like this before. i have tried some of the solution given from the thread but it did not seem to solve the error for my application    this is my android.manifest file for the second activity   <pre><code>&lt;application     android:allowbackup= true      android:icon= @mipmap/ic_launcher      android:label= @string/app_name      android:theme= @style/apptheme &gt;     &lt;activity         android:name= .mainactivity          android:label= @string/app_name &gt;         &lt;intent-filter&gt;             &lt;action android:name= android.intent.action.main  /&gt;              &lt;category android:name= android.intent.category.launcher  /&gt;         &lt;/intent-filter&gt;     &lt;/activity&gt;       &lt;activity         android:name= .revgpaactivity          android:label= @string/title_activity_rev_gpa &gt;         &lt;intent-filter&gt;             &lt;action android:name= com.example.user.testapp.revgpaactivity  /&gt;              &lt;category android:name= android.intent.category.default  /&gt;         &lt;/intent-filter&gt;     &lt;/activity&gt;      &lt;!-- attention: this was auto-generated to add google play services to your project for          app indexing.  see https://g.co/appindexing/androidstudio for more information. --&gt;     &lt;meta-data         android:name= com.google.android.gms.version          android:value= @integer/google_play_services_version  /&gt; &lt;/application&gt; </code></pre>       and here is my mainactivity   <pre><code>private googleapiclient client; button start_rev_gpa;  @override protected void oncreate(bundle savedinstancestate) {     super.oncreate(savedinstancestate);     setcontentview(r.layout.activity_main);     // attention: this was auto-generated to implement the app indexing api.     // see https://g.co/appindexing/androidstudio for more information.     client = new googleapiclient.builder(this).addapi(appindex.api).build();      //start rev gpa     startrevgpa(); }  public void startrevgpa(){     start_rev_gpa = (button)findviewbyid(r.id.startrevgpa);     start_rev_gpa.setonclicklistener(             new view.onclicklistener() {                 @override                 public void onclick(view v) {                     intent intent = new intent( com.example.user.testapp.revgpaactivity );                     startactivity(intent);                 }             }     ); } </code></pre>   i did not do anything on the xml file like android:onclick or anything. the app hangs for about 3 seconds then it stopped working    logcat   <pre><code>fatal exception: main                                                                       process: com.example.user.testapp  pid: 29051                                                                       java.lang.runtimeexception: unable to start activity componentinfo{com.example.user.testapp/com.example.user.testapp.revgpaactivity}: java.lang.illegalstateexception: you need to use a theme.appcompat theme (or descendant) with this activity.                                                                           at android.app.activitythread.performlaunchactivity(activitythread.java:2298)                                                                           at android.app.activitythread.handlelaunchactivity(activitythread.java:2360)                                                                           at android.app.activitythread.access$800(activitythread.java:144)                                                                           at android.app.activitythread$h.handlemessage(activitythread.java:1278)                                                                           at android.os.handler.dispatchmessage(handler.java:102)                                                                           at android.os.looper.loop(looper.java:135)                                                                           at android.app.activitythread.main(activitythread.java:5221)                                                                           at java.lang.reflect.method.invoke(native method)                                                                           at java.lang.reflect.method.invoke(method.java:372)                                                                           at com.android.internal.os.zygoteinit$methodandargscaller.run(zygoteinit.java:899)                                                                           at com.android.internal.os.zygoteinit.main(zygoteinit.java:694)                                                                        caused by: java.lang.illegalstateexception: you need to use a theme.appcompat theme (or descendant) with this activity.                                                                           at android.support.v7.app.actionbaractivitydelegate.oncreate(actionbaractivitydelegate.java:151)                                                                           at android.support.v7.app.actionbaractivitydelegatebase.oncreate(actionbaractivitydelegatebase.java:138)                                                                           at android.support.v7.app.actionbaractivity.oncreate(actionbaractivity.java:123)                                                                           at com.example.user.testapp.revgpaactivity.oncreate(revgpaactivity.java:10)                                                                           at android.app.activity.performcreate(activity.java:5937)                                                                           at android.app.instrumentation.callactivityoncreate(instrumentation.java:1105)                                                                           at android.app.activitythread.performlaunchactivity(activitythread.java:2251)                                                                           at android.app.activitythread.handlelaunchactivity(activitythread.java:2360)                                                                            at android.app.activitythread.access$800(activitythread.java:144)                                                                            at android.app.activitythread$h.handlemessage(activitythread.java:1278)                                                                            at android.os.handler.dispatchmessage(handler.java:102)                                                                            at android.os.looper.loop(looper.java:135)                                                                            at android.app.activitythread.main(activitythread.java:5221)                                                                            at java.lang.reflect.method.invoke(native method)                                                                            at java.lang.reflect.method.invoke(method.java:372)                                                                            at com.android.internal.os.zygoteinit$methodandargscaller.run(zygoteinit.java:899)                                                                            at com.android.internal.os.zygoteinit.main(zygoteinit.java:694)  </code></pre>,android
java: r cannot be resolved to a variable  i know this question has been asked before but i am at my witts end with this. i have just created a new project and getting this error.    ofcourse the r.java file is not being generated.    i am using jre7 android 4.2.2   <pre><code>    package com.example.myfirstapp;  import android.os.bundle; import android.app.activity; import android.view.menu;  public class mainactivity extends activity {      @override     protected void oncreate(bundle savedinstancestate) {         super.oncreate(savedinstancestate);         setcontentview(r.layout.activity_main);     }      @override     public boolean oncreateoptionsmenu(menu menu) {         // inflate the menu; this adds items to the action bar if it is present.         getmenuinflater().inflate(r.menu.main  menu);         return true;     }  } </code></pre>   as we can see no r import in the mainactivity class    lets take a look at the untouched manifest file:   <pre><code>   &lt; xml version= 1.0  encoding= utf-8  &gt; &lt;manifest xmlns:android= http://schemas.android.com/apk/res/android      package= com.example.myfirstapp      android:versioncode= 1      android:versionname= 1.0  &gt;      &lt;uses-sdk         android:minsdkversion= 8          android:targetsdkversion= 17  /&gt;      &lt;application         android:allowbackup= true          android:icon= @drawable/ic_launcher          android:label= @string/app_name          android:theme= @style/apptheme  &gt;         &lt;activity             android:name= com.example.myfirstapp.mainactivity              android:label= @string/app_name  &gt;             &lt;intent-filter&gt;                 &lt;action android:name= android.intent.action.main  /&gt;                  &lt;category android:name= android.intent.category.launcher  /&gt;             &lt;/intent-filter&gt;         &lt;/activity&gt;     &lt;/application&gt;  &lt;/manifest&gt; </code></pre>   nothing there that looks out of place. i have tried multiple close project open project. clean and builds.     none of the res are in uppercase and i have experimented with the project properties java build path order and export. under libaries i have 3 different android libaries:    android 4.2.2 android private libaries android dependencies     this is making me start to long for c++ :),android
nullpointerexception; thrown while initializing landroid/net/http/httpsconnection after upgrade to ubuntu 12  after upgrading my host to ubuntu 12 and successfully rebuilding android  upon installation on device  the system boot loops into this error:   <pre><code>i/zygote  (  147): preloading classes... d/dalvikvm(  147): gc_explicit freed 47k  78% free 232k/1024k  external 0k/0k  paused 3ms d/dalvikvm(  147): gc_explicit freed 1k  73% free 282k/1024k  external 0k/0k  paused 3ms d/dalvikvm(  147): gc_explicit freed 20k  70% free 315k/1024k  external 0k/0k  paused 3ms d/dalvikvm(  147): gc_explicit freed 17k  66% free 353k/1024k  external 0k/0k  paused 3ms d/dalvikvm(  147): gc_explicit freed 26k  63% free 381k/1024k  external 0k/0k  paused 4ms d/dalvikvm(  147): gc_explicit freed 22k  58% free 440k/1024k  external 0k/0k  paused 4ms w/mediaprofiles(  147): could not find media config xml file d/dalvikvm(  147): gc_explicit freed 99k  47% free 545k/1024k  external 0k/0k  paused 5ms w/dalvikvm(  147): exception ljava/lang/ nullpointerexception; thrown while initializing landroid/net/http/httpsconnection; e/zygote  (  147): error preloading android.net.http.httpsconnection. e/zygote  (  147): java.lang.exceptionininitializererror e/zygote  (  147):     at java.lang.class.classforname(native method) e/zygote  (  147):     at java.lang.class.forname(class.java:234) e/zygote  (  147):     at java.lang.class.forname(class.java:181) e/zygote  (  147):     at com.android.internal.os.zygoteinit.preloadclasses(zygoteinit.java:297) e/zygote  (  147):     at com.android.internal.os.zygoteinit.main(zygoteinit.java:564) e/zygote  (  147):     at dalvik.system.nativestart.main(native method) e/zygote  (  147): caused by: java.lang.nullpointerexception: algorithm is null e/zygote  (  147):     at javax.net.ssl.keymanagerfactory.getinstance(keymanagerfactory.java:77) e/zygote  (  147):     at org.apache.harmony.xnet.provider.jsse.sslparametersimpl.createdefaultkeymanager(sslparametersimpl.java:387) e/zygote  (  147):     at org.apache.harmony.xnet.provider.jsse.sslparametersimpl.getdefaultkeymanager(sslparametersimpl.java:380) e/zygote  (  147):     at org.apache.harmony.xnet.provider.jsse.sslparametersimpl.&lt;init&gt;(sslparametersimpl.java:120) e/zygote  (  147):     at org.apache.harmony.xnet.provider.jsse.sslcontextimpl.engineinit(sslcontextimpl.java:97) e/zygote  (  147):     at android.net.http.httpsconnection.initializeengine(httpsconnection.java:101) e/zygote  (  147):     at android.net.http.httpsconnection.&lt;clinit&gt;(httpsconnection.java:65) e/zygote  (  147):     ... 6 more e/zygote  (  147): setreuid() failed. errno: 17 d/androidruntime(  147): shutting down vm </code></pre>  <hr>   the same sources worked fine when built in my ubuntu 11.10 (64-bit) host. i did the migration like this:    1) full backup of the aosp source dir  from the 11.10 host    2) setup of a new ubuntu 12.04 host    3) installation of aosp pre-requisite packages    4) installation of oracle jdk 6    5) restore of the aosp source dir (from 1)    the failure in  javax.net.ssl.keymanagerfactory  suggests some ssl-related issue  but i wonder what i could be missing ...    ps - for additional info on the device and porting project  there s a <a href= https://groups.google.com/forum/#!forum/renesas-emev-osp  rel= nofollow >group</a> hosting discussions about it.,android
cannot start emulator in android studio 2.0  i just upgraded my android studio from 1.5 to 2.0.and now i am facing some weird bug when i try to start emulator. i use ubuntu 15.10 os    android monitor returns this message   <pre><code>sh: 1: glxinfo: not found sh: 1: glxinfo: not found libgl error: unable to load driver: r600_dri.so libgl error: driver pointer missing libgl error: failed to load driver: r600 libgl error: unable to load driver: swrast_dri.so libgl error: failed to load driver: swrast x error of failed request:  badvalue (integer parameter out of range    for  operation) major opcode of failed request:  155 (glx) minor opcode of failed request:  24 (x_glxcreatenewcontext) value in failed request:  0x0 serial number of failed request:  33 current serial number in output stream:  34  qobject::~qobject: timers cannot be stopped from another thread </code></pre>   when i was using 1.5 version all was going good. is it a bug in android studio 2.0.    how to remove this error,android
incorrect line ending: found carriage return (\r) without corresponding newline (\n)  i received error in my xml file.  incorrect line ending: found carriage return (\r) without corresponding newline (\n).   <pre><code>&lt;button      android:id= @+id/btn_login       android:layout_width= 100dip       android:layout_height= wrap_content       android:layout_alignparentbottom= true       android:layout_alignright= @+id/et_un       android:layout_marginbottom= 15dp       android:layout_marginright= 22dp       android:text= login       android:textcolor= #aa0000       android:textsize= 10pt  /&gt; </code></pre>   how to solve it. can anyone help,android
how to back from third activity to second activity in android   i have 3 activity called a  b and c. i want to call a => b => c => b => a.  when i back to b from c  app is stopped. please give me solution for this case. thanks in advance.,android
changing cycles in interval running application on android  i am trying to write an application in android studio for interval running. i have a problem with one algorithm aplication. first i will write what the application should do. interval running is running with diferent pace  slower and faster. my application will tell the runner what he should do right now - running fast  running slow  walking etc. - some kind of assistant. in application we input warmup (time we walk before running in seconds)  relax (time we walk after running in the end in seconds)  hispeed (how many seconds a cycle of high speed running lasts)  lowspeed(how many seconds a cycle of low speed running lasts) and cycles (number of hispeed-lowspeed cycles). everything is shown on this picture.    <a href= http://oi62.tinypic.com/66dphw.jpg  rel= nofollow >http://oi62.tinypic.com/66dphw.jpg</a>    application window (sorry for poor editing from my language in paint):    <a href= http://oi59.tinypic.com/2v2gza1.jpg  rel= nofollow >http://oi59.tinypic.com/2v2gza1.jpg</a>    after start click all the calculations begin. overall time is correctly counted. time left (from overall time to 0) is also ok. everything works fine when the number of cycles is 1. if i want more lowspeed-hispeed cycles  the application works not correctly  and i can t figure out how to write this peace of code to make it work. can someone halp me with this     source code:   <pre><code>@override protected void oncreate(bundle savedinstancestate) {     super.oncreate(savedinstancestate);     setcontentview(r.layout.activity_main);      b1=(button)findviewbyid(r.id.button2);     b2=(button)findviewbyid(r.id.button3);     b3=(button)findviewbyid(r.id.button4);     am=(audiomanager)getsystemservice(context.audio_service);      b1.setonclicklistener(new onclicklistener() {         @override         public void onclick(view v) {             am.setringermode(0);         }     });     b2.setonclicklistener(new onclicklistener() {         @override         public void onclick(view v) {             am.setringermode(1);         }     });     b3.setonclicklistener(new onclicklistener() {         @override         public void onclick(view v) {             am.setringermode(2);         }     }); }   @override public boolean oncreateoptionsmenu(menu menu) {     // inflate the menu; this adds items to the action bar if it is present.     getmenuinflater().inflate(r.menu.menu_main  menu);     return true; }  @override public boolean onoptionsitemselected(menuitem item) {     // handle action bar item clicks here. the action bar will     // automatically handle clicks on the home/up button  so long     // as you specify a parent activity in androidmanifest.xml.     int id = item.getitemid();      //noinspection simplifiableifstatement     if (id == r.id.action_settings) {         return true;     }      return super.onoptionsitemselected(item); }   public void start(view view) {      edittext edittext = (edittext) findviewbyid(r.id.edittext);     warmup = integer.parseint(edittext.gettext().tostring());     edittext edittext2 = (edittext) findviewbyid(r.id.edittext2);     relax = integer.parseint(edittext2.gettext().tostring());     edittext edittext3 = (edittext) findviewbyid(r.id.edittext3);     hispeed = integer.parseint(edittext3.gettext().tostring());     edittext edittext4 = (edittext) findviewbyid(r.id.edittext4);     lowspeed = integer.parseint(edittext4.gettext().tostring());     edittext edittext5 = (edittext) findviewbyid(r.id.edittext5);     cykle = integer.parseint(edittext5.gettext().tostring());      overall = warmup + relax + ((hispeed + lowspeed) * cykle);     textview textview13 = (textview) findviewbyid(r.id.textview13);     textview13.settext(   + overall);       final textview textview12 = (textview) findviewbyid(r.id.textview12);     countdowntimer count = new countdowntimer(overall * 1000  1000) {          public void ontick(long millisuntilfinished) {     //         int seconds = (int) ((millisuntilfinished / 1000));              textview12.settext(   + millisuntilfinished / 1000);              int milis = (int) millisuntilfinished / 1000;              if ((overall - milis) &lt; warmup) {                 textview textview8 = (textview) findviewbyid(r.id.textview8);                 textview8.settext( warmup );                                                  }             if (((overall - milis) &lt; warmup+hispeed) &amp;&amp; ((overall - milis) &gt; (warmup))){                 textview textview8 = (textview) findviewbyid(r.id.textview8);                 textview8.settext( hispeed );             }             if (((overall - milis) &lt; warmup+hispeed+lowspeed) &amp;&amp; ((overall - milis) &gt; (warmup+hispeed))){                 textview textview8 = (textview) findviewbyid(r.id.textview8);                 textview8.settext( lowspeed );             }              if ((overall - milis) &gt; (overall - relax)) {                 textview textview8 = (textview) findviewbyid(r.id.textview8);                 textview8.settext( relax );             }              }         public void onfinish() {              textview12.settext( 0 );             textview textview8 = (textview) findviewbyid(r.id.textview8);             textview8.settext( finish );         }     };      count.start();      }  } </code></pre>,android
stoping a countdown timer from a different thread  there is a cancel() method in android to cancel a countdown timer. but since the count down timer is running in a different thread  will the count down timer cancel  if i cancel it from inside of a button onclicklitener().<br> the countdown timer was not started in the buttononclicklistener  but it has to be cancelled inside the onclicklistener().,android
android: how to get bytes instead image from camera  is there is way to tell to:   <pre><code>intent intent = new intent(android.provider.mediastore.action_image_capture );  </code></pre>   do not create images at all  but return data in <code>[] bytes</code>,android
can i direct play .caf file in android  <blockquote>    <strong>possible duplicate:</strong><br>   <a href= https://stackoverflow.com/questions/5172441/can-an-android-phone-decode-and-play-back-a-caf-file-w-ilbc-codec >can an android phone decode and play back a *.caf file w/ ilbc codec </a>    </blockquote>     i am developing such type of application  in my android application play a1.caf file .    i want to know  <em>is possible to play .caf file in android.</em>    <code>if yes  then how to play</code>,android
i am writing android application i am getting exception and i can not solve  here i̇s my code i am getting exceptions and i can not solve please help me i am trying to do android application with webservice.calculating howmany ship gateout for today with using gateout method   <pre><code>package com.example.marport;  import java.io.ioexception;  import org.ksoap2.soapenvelope; import org.ksoap2.soapfault; import org.ksoap2.serialization.soapobject; import org.ksoap2.serialization.soapserializationenvelope; import org.ksoap2.transport.httptransportse; import org.xmlpull.v1.xmlpullparserexception;  import android.app.activity; import android.app.progressdialog; import android.os.asynctask; import android.os.bundle; import android.widget.button; import android.widget.edittext; import android.widget.textview;  public class limanbilgileri extends activity {     /** called when the activity is first created. */       final static string namespace =  http://webservice.marport.dcat.com/ ;     // web servis üzerinde hangi metodu kullanacağımızı ayarlıyoruz.     final static string method_name =  gateout ;     // soap_action : namespace ve method_name birleşiminden oluşuyor.     final static string soap_action =  http://webservice.marport.dcat.com/gateout ;     // son olarak web servise ait url tanımlamasını burada yapıyoruz.     final static string url =  192.168.1.164:8070/test/services/marportwebserviceport ;      private textview sonuc;     private edittext deger;     private button hesapla;     private textview debug;       public void oncreate(bundle savedinstancestate)     {        super.oncreate(savedinstancestate);        setcontentview(r.layout.limanbilgileri);        debug=(textview)findviewbyid(r.id.textview3);         deneme den=new deneme();        den.execute();       }      public class deneme extends asynctask&lt;string  string  string&gt;{         private final progressdialog dialog = new progressdialog(limanbilgileri.this);          string result=null;          protected void onpostexecute(string unused) {            this.dialog.dismiss();             debug.settext( sonuc   +unused);        }         protected void onpreexecute() {             this.dialog.setmessage( yükleniyor... );             this.dialog.show();             }         @override         protected string doinbackground(string... params) {             // todo auto-generated method stub              soapobject request=new soapobject(namespace method_name);               //request.addproperty();               soapserializationenvelope soapenvelope = new soapserializationenvelope(soapenvelope.ver11);               soapenvelope.dotnet=false;               soapenvelope.setoutputsoapobject(request);               httptransportse aht=new httptransportse(url);               try {                 aht.call(soap_action  soapenvelope);             } catch (ioexception e) {                 // todo auto-generated catch block                 e.printstacktrace();             } catch (xmlpullparserexception e) {                 // todo auto-generated catch block                 e.printstacktrace();             }               try {                  result= soapenvelope.getresponse().tostring();              } catch (soapfault e) {                 // todo auto-generated catch block                 e.printstacktrace();             }              return result;         }      } } </code></pre>   here i̇s excepti̇on   <pre><code>08-16 12:43:42.867: e/androidruntime(2892): fatal exception: asynctask #1 08-16 12:43:42.867: e/androidruntime(2892): java.lang.runtimeexception: an error occured while executing doinbackground() 08-16 12:43:42.867: e/androidruntime(2892):     at android.os.asynctask$3.done(asynctask.java:299) 08-16 12:43:42.867: e/androidruntime(2892):     at java.util.concurrent.futuretask$sync.innersetexception(futuretask.java:273) 08-16 12:43:42.867: e/androidruntime(2892):     at java.util.concurrent.futuretask.setexception(futuretask.java:124) 08-16 12:43:42.867: e/androidruntime(2892):     at java.util.concurrent.futuretask$sync.innerrun(futuretask.java:307) 08-16 12:43:42.867: e/androidruntime(2892):     at java.util.concurrent.futuretask.run(futuretask.java:137) 08-16 12:43:42.867: e/androidruntime(2892):     at android.os.asynctask$serialexecutor$1.run(asynctask.java:230) 08-16 12:43:42.867: e/androidruntime(2892):     at java.util.concurrent.threadpoolexecutor.runworker(threadpoolexecutor.java:1076) 08-16 12:43:42.867: e/androidruntime(2892):     at java.util.concurrent.threadpoolexecutor$worker.run(threadpoolexecutor.java:569) 08-16 12:43:42.867: e/androidruntime(2892):     at java.lang.thread.run(thread.java:856) 08-16 12:43:42.867: e/androidruntime(2892): caused by: java.lang.nullpointerexception 08-16 12:43:42.867: e/androidruntime(2892):     at org.ksoap2.serialization.soapserializationenvelope.getresponse(soapserializationenvelope.java:552) 08-16 12:43:42.867: e/androidruntime(2892):     at com.example.marport.limanbilgileri$deneme.doinbackground(limanbilgileri.java:90) 08-16 12:43:42.867: e/androidruntime(2892):     at com.example.marport.limanbilgileri$deneme.doinbackground(limanbilgileri.java:1) 08-16 12:43:42.867: e/androidruntime(2892):     at android.os.asynctask$2.call(asynctask.java:287) 08-16 12:43:42.867: e/androidruntime(2892):     at java.util.concurrent.futuretask$sync.innerrun(futuretask.java:305) 08-16 12:43:42.867: e/androidruntime(2892):     ... 5 more </code></pre>,android
how to create a bar graph in android   i have a requirement to create a horizontal bar graph that shows comparison between two values. so i need to create only two horizontal bars  first one is for total amount and second one is for consumed amount.      could some one please help me with suggestions to create a bar chart in android. i look forward to hearing from you at the earliest.    thanks in advance,android
how does onlowmemory work on android   i would like to know how <code>onlowmemory()</code> function gets executed    for eg.    say i have 3 activities each with their <code>onlowmemory()</code> functions overridden to clean up data from ram. i also have 1 <code>application</code> class which also overrides <code>onlowmemory()</code> to clean up some global state data.    now lets say we go from activity a -> activity b -> activity c   and on activity c we run out of memory. my question is what happens after that     from what i understand  <code>onlowmemory()</code> function of activity c and application class will get called  am i correct  does <code>onlowmemory()</code> function of activity a and b gets called      also i believe activity a and b will be killed (since they are background activities)  but before those activities are killed  do their respective <code>onlowmemory()</code> gets called,android
unable to play android videoview in fullscreen mode.  in my project i am taking a linearlayout of width and height as full_parent and to that i am adding a videoview of width and height as fill_parent but the video is not occupying entire screen.    thanks in advance.,android
media recorder change the brightness to dim in marshmallow  the media recorder cause the brightness to dim only in version 6. initially the camera brightness remains normal. after start the media recorder it cause the normal brightness to dim.did any one knows how to fix this issue    <pre><code>private boolean preparemediarecorder() {          mediarecorder = new mediarecorder();          file wallpaperdirectory = new file( /sdcard/jobportalvideo/ ); // have the object build the directory structure  if needed.         wallpaperdirectory.mkdirs();          //save the path as a string value           //create new file and name it image2.png          file = new file(wallpaperdirectory   video_  + system.currenttimemillis() +  .mp4 );             mcamera.unlock();         mediarecorder.setcamera(mcamera);          mediarecorder.setaudiosource(mediarecorder.audiosource.camcorder);         mediarecorder.setvideosource(mediarecorder.videosource.camera);          mediarecorder.setprofile(camcorderprofile.get(camcorderprofile.quality_high));          mediarecorder.setoutputfile(string.valueof(file));         mediarecorder.setmaxduration(600000); // set max duration 60 sec.         mediarecorder.setmaxfilesize(50000000); // set max file size 50m          try {             mediarecorder.prepare();         } catch (illegalstateexception e) {             releasemediarecorder();             return false;         } catch (ioexception e) {             releasemediarecorder();             return false;         }         return true;      } </code></pre>,android
